"","cell1","cell2","score"
"1",9,975,0.516129032258065
"2",21,975,0.451612903225806
"3",47,975,0.387096774193548
"4",171,975,0.451612903225806
"5",204,975,0.580645161290323
"6",210,975,0.548387096774194
"7",211,975,0.354838709677419
"8",219,975,0.580645161290323
"9",38,976,0.193548387096774
"10",666,976,0.193548387096774
"11",726,976,0.516129032258065
"12",923,976,0.225806451612903
"13",29,977,0.870967741935484
"14",83,977,0.709677419354839
"15",91,977,0.709677419354839
"16",108,977,0.903225806451613
"17",117,977,0.806451612903226
"18",134,977,0.741935483870968
"19",149,977,0.645161290322581
"20",4,978,1
"21",25,978,0.67741935483871
"22",30,978,0.774193548387097
"23",48,978,0.903225806451613
"24",60,978,0.645161290322581
"25",62,978,0.741935483870968
"26",67,978,0.741935483870968
"27",89,978,0.387096774193548
"28",31,979,0.451612903225806
"29",66,979,0.419354838709677
"30",80,979,0.419354838709677
"31",87,979,0.612903225806452
"32",147,979,0.387096774193548
"33",221,979,0.483870967741935
"34",2,980,0.645161290322581
"35",62,980,0.548387096774194
"36",105,980,0.419354838709677
"37",154,980,0.354838709677419
"38",212,980,0.548387096774194
"39",20,981,0.483870967741935
"40",126,981,0.774193548387097
"41",149,981,0.548387096774194
"42",162,981,0.483870967741935
"43",196,981,0.903225806451613
"44",202,981,0.419354838709677
"45",67,982,0.516129032258065
"46",114,982,0.290322580645161
"47",207,982,0.580645161290323
"48",210,982,0.903225806451613
"49",41,983,1
"50",180,983,0.290322580645161
"51",47,984,0.290322580645161
"52",48,984,0.419354838709677
"53",72,984,0.548387096774194
"54",74,984,1
"55",79,984,0.612903225806452
"56",88,984,0.870967741935484
"57",89,984,1
"58",111,984,0.354838709677419
"59",6,985,0.32258064516129
"60",125,985,0.387096774193548
"61",187,985,0.580645161290323
"62",208,985,0.451612903225806
"63",209,985,0.838709677419355
"64",142,986,0.387096774193548
"65",165,986,0.129032258064516
"66",179,986,0.451612903225806
"67",180,986,0.451612903225806
"68",12,987,1
"69",57,987,1
"70",61,987,1
"71",70,987,1
"72",77,987,1
"73",110,987,1
"74",14,988,0.838709677419355
"75",18,988,1
"76",22,988,0.645161290322581
"77",26,988,1
"78",76,988,0.645161290322581
"79",94,988,0.709677419354839
"80",123,988,1
"81",132,988,0.67741935483871
"82",180,988,0.806451612903226
"83",18,989,0.935483870967742
"84",79,989,0.67741935483871
"85",88,989,0.709677419354839
"86",113,989,0.290322580645161
"87",153,989,0.548387096774194
"88",186,989,0.225806451612903
"89",4,990,0.935483870967742
"90",25,990,0.967741935483871
"91",53,990,0.419354838709677
"92",59,990,0.838709677419355
"93",67,990,0.612903225806452
"94",86,990,0.870967741935484
"95",3,991,0.838709677419355
"96",31,991,0.32258064516129
"97",35,991,0.838709677419355
"98",39,991,0.612903225806452
"99",71,991,0.580645161290323
"100",87,991,0.548387096774194
"101",119,991,0.774193548387097
"102",217,991,1
"103",227,991,0.967741935483871
"104",85,992,0.354838709677419
"105",128,992,0.67741935483871
"106",142,992,0.741935483870968
"107",151,992,0.516129032258065
"108",155,992,0.354838709677419
"109",176,992,0.612903225806452
"110",30,993,0.774193548387097
"111",72,993,0.67741935483871
"112",149,993,0.387096774193548
"113",159,993,0.709677419354839
"114",43,994,1
"115",131,994,0.838709677419355
"116",170,994,1
"117",194,994,0.645161290322581
"118",199,994,0.870967741935484
"119",220,994,0.838709677419355
"120",226,994,1
"121",874,994,0.903225806451613
"122",938,994,0.580645161290323
"123",4,995,1
"124",25,995,1
"125",86,995,0.967741935483871
"126",61,996,0.870967741935484
"127",123,996,0.870967741935484
"128",180,996,0.67741935483871
"129",2,997,0.67741935483871
